,type,location,price,area,link
0,Apartment,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","500,000",180 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3385823.html
1,Townhouse,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3,500,000",165 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3430680.html
2,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,300,000",145 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3342624.html
3,Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","515,789",139 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-3436023.html
4,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo","900,000",399 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-3432649.html
5,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo","6,700,000",376 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-3409227.html
6,Townhouse,"Grand Residence, South Investors Area, New Cairo City, Cairo","6,000,000",281 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-south-investors-area-grand-residence-3339188.html
7,Villa,"Mountain View 1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","15,500,000",530 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-1-3287757.html
8,Villa,"Maadi View, El Shorouk Compounds, Shorouk City, Cairo","590,000",288 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-maadi-view-3329997.html
9,Apartment,"The Sierras, Uptown Cairo, Mokattam, Cairo","5,150,000",140 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-sierras-3380292.html
10,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","7,700,000",317 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3428730.html
11,Townhouse,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,500,000",400 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3335817.html
